"filename", "language", "TypeScript JSX", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"e:\taroDemos\cloudmate\src\apis\approval.ts", "TypeScript", 0, 0, 110, 0, 0, 11, 121
"e:\taroDemos\cloudmate\src\apis\attandence.ts", "TypeScript", 0, 0, 9, 0, 0, 5, 14
"e:\taroDemos\cloudmate\src\apis\auth.ts", "TypeScript", 0, 0, 7, 0, 0, 2, 9
"e:\taroDemos\cloudmate\src\apis\chat.ts", "TypeScript", 0, 0, 57, 0, 0, 4, 61
"e:\taroDemos\cloudmate\src\apis\constants.ts", "TypeScript", 0, 0, 2, 0, 0, 1, 3
"e:\taroDemos\cloudmate\src\apis\contacts.ts", "TypeScript", 0, 0, 30, 0, 0, 5, 35
"e:\taroDemos\cloudmate\src\apis\request.ts", "TypeScript", 0, 0, 43, 0, 0, 16, 59
"e:\taroDemos\cloudmate\src\apis\share.ts", "TypeScript", 0, 0, 115, 0, 0, 17, 132
"e:\taroDemos\cloudmate\src\apis\user.ts", "TypeScript", 0, 0, 5, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\app.config.ts", "TypeScript", 0, 0, 20, 0, 0, 1, 21
"e:\taroDemos\cloudmate\src\app.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"e:\taroDemos\cloudmate\src\app.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 5, 38
"e:\taroDemos\cloudmate\src\components\action-sheet\index.module.scss", "SCSS", 0, 61, 0, 0, 2, 9, 72
"e:\taroDemos\cloudmate\src\components\action-sheet\index.tsx", "TypeScript JSX", 52, 0, 0, 0, 1, 9, 62
"e:\taroDemos\cloudmate\src\components\auth\index.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 8, 42
"e:\taroDemos\cloudmate\src\components\avatar\index.module.scss", "SCSS", 0, 56, 0, 0, 0, 3, 59
"e:\taroDemos\cloudmate\src\components\avatar\index.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 7, 59
"e:\taroDemos\cloudmate\src\components\box\state-box\index.module.scss", "SCSS", 0, 4, 0, 0, 0, 1, 5
"e:\taroDemos\cloudmate\src\components\box\state-box\index.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 7, 26
"e:\taroDemos\cloudmate\src\components\button\index.module.scss", "SCSS", 0, 21, 0, 0, 0, 4, 25
"e:\taroDemos\cloudmate\src\components\button\index.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 6, 29
"e:\taroDemos\cloudmate\src\components\checkbox\index.module.scss", "SCSS", 0, 3, 0, 0, 0, 1, 4
"e:\taroDemos\cloudmate\src\components\checkbox\index.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 7, 49
"e:\taroDemos\cloudmate\src\components\divider\index.module.scss", "SCSS", 0, 12, 0, 0, 0, 1, 13
"e:\taroDemos\cloudmate\src\components\divider\index.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 4, 20
"e:\taroDemos\cloudmate\src\components\drawer\index.module.scss", "SCSS", 0, 145, 0, 0, 2, 14, 161
"e:\taroDemos\cloudmate\src\components\drawer\index.tsx", "TypeScript JSX", 70, 0, 0, 0, 1, 12, 83
"e:\taroDemos\cloudmate\src\components\float-indicator\index.module.scss", "SCSS", 0, 25, 0, 0, 0, 3, 28
"e:\taroDemos\cloudmate\src\components\float-indicator\index.tsx", "TypeScript JSX", 77, 0, 0, 0, 0, 14, 91
"e:\taroDemos\cloudmate\src\components\header\index.module.scss", "SCSS", 0, 7, 0, 0, 0, 1, 8
"e:\taroDemos\cloudmate\src\components\header\index.tsx", "TypeScript JSX", 19, 0, 0, 0, 1, 6, 26
"e:\taroDemos\cloudmate\src\components\icon\common\index.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 10, 28
"e:\taroDemos\cloudmate\src\components\icon\index.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2, 4
"e:\taroDemos\cloudmate\src\components\image-picker\index.module.scss", "SCSS", 0, 31, 0, 0, 0, 5, 36
"e:\taroDemos\cloudmate\src\components\image-picker\index.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 11, 67
"e:\taroDemos\cloudmate\src\components\list\index.module.scss", "SCSS", 0, 32, 0, 0, 0, 6, 38
"e:\taroDemos\cloudmate\src\components\list\index.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 9, 41
"e:\taroDemos\cloudmate\src\components\loading\box\index.module.scss", "SCSS", 0, 16, 0, 0, 0, 2, 18
"e:\taroDemos\cloudmate\src\components\loading\box\index.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 7, 27
"e:\taroDemos\cloudmate\src\components\loading\icon\index.module.scss", "SCSS", 0, 13, 0, 0, 1, 2, 16
"e:\taroDemos\cloudmate\src\components\loading\icon\index.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 4, 17
"e:\taroDemos\cloudmate\src\components\modal\index.module.scss", "SCSS", 0, 49, 0, 0, 0, 5, 54
"e:\taroDemos\cloudmate\src\components\modal\index.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 8, 48
"e:\taroDemos\cloudmate\src\components\popover\index.d.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"e:\taroDemos\cloudmate\src\components\popover\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"e:\taroDemos\cloudmate\src\components\popover\index.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 14, 96
"e:\taroDemos\cloudmate\src\components\popover\use-floating.ts", "TypeScript", 0, 0, 122, 0, 0, 13, 135
"e:\taroDemos\cloudmate\src\components\radio\index.module.scss", "SCSS", 0, 17, 0, 0, 0, 5, 22
"e:\taroDemos\cloudmate\src\components\radio\index.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 5, 30
"e:\taroDemos\cloudmate\src\components\search\index.module.scss", "SCSS", 0, 12, 0, 0, 0, 1, 13
"e:\taroDemos\cloudmate\src\components\search\index.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 4, 22
"e:\taroDemos\cloudmate\src\components\tab-bar\constants.ts", "TypeScript", 0, 0, 53, 0, 0, 4, 57
"e:\taroDemos\cloudmate\src\components\tab-bar\index.config.ts", "TypeScript", 0, 0, 3, 0, 0, 1, 4
"e:\taroDemos\cloudmate\src\components\tab-bar\index.module.scss", "SCSS", 0, 77, 0, 0, 3, 11, 91
"e:\taroDemos\cloudmate\src\components\tab-bar\index.tsx", "TypeScript JSX", 48, 0, 0, 0, 2, 11, 61
"e:\taroDemos\cloudmate\src\components\textarea\index.module.scss", "SCSS", 0, 7, 0, 0, 0, 1, 8
"e:\taroDemos\cloudmate\src\components\textarea\index.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 8, 43
"e:\taroDemos\cloudmate\src\components\time-line\index.module.scss", "SCSS", 0, 33, 0, 0, 0, 5, 38
"e:\taroDemos\cloudmate\src\components\time-line\index.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 17, 89
"e:\taroDemos\cloudmate\src\constants\http.ts", "TypeScript", 0, 0, 4, 0, 2, 1, 7
"e:\taroDemos\cloudmate\src\hooks\useDebounce.ts", "TypeScript", 0, 0, 36, 0, 0, 6, 42
"e:\taroDemos\cloudmate\src\hooks\useDebounceCallback.ts", "TypeScript", 0, 0, 155, 0, 1, 27, 183
"e:\taroDemos\cloudmate\src\hooks\useLoadRequest.ts", "TypeScript", 0, 0, 43, 0, 0, 7, 50
"e:\taroDemos\cloudmate\src\hooks\useSwipeNavigation.ts", "TypeScript", 0, 0, 50, 0, 0, 7, 57
"e:\taroDemos\cloudmate\src\hooks\useSwitchTab.ts", "TypeScript", 0, 0, 19, 0, 0, 5, 24
"e:\taroDemos\cloudmate\src\hooks\useSystemInit.ts", "TypeScript", 0, 0, 46, 0, 0, 11, 57
"e:\taroDemos\cloudmate\src\hooks\useTime.ts", "TypeScript", 0, 0, 39, 0, 1, 8, 48
"e:\taroDemos\cloudmate\src\index.html", "HTML", 0, 0, 0, 17, 0, 1, 18
"e:\taroDemos\cloudmate\src\layout\common\index.module.scss", "SCSS", 0, 27, 0, 0, 0, 5, 32
"e:\taroDemos\cloudmate\src\layout\common\index.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 5, 45
"e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\component-map.tsx", "TypeScript JSX", 15, 0, 0, 0, 1, 3, 19
"e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\index.d.ts", "TypeScript", 0, 0, 43, 0, 0, 9, 52
"e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\index.module.scss", "SCSS", 0, 48, 0, 0, 0, 8, 56
"e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\index.tsx", "TypeScript JSX", 73, 0, 0, 0, 0, 9, 82
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\edit-page.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 6, 65
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\index.d.ts", "TypeScript", 0, 0, 18, 0, 0, 5, 23
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\index.module.scss", "SCSS", 0, 156, 0, 0, 0, 21, 177
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\index.tsx", "TypeScript JSX", 102, 0, 0, 0, 1, 11, 114
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\removable-avatar.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 5, 34
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\selected-page.tsx", "TypeScript JSX", 86, 0, 0, 0, 0, 11, 97
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\index.module.scss", "SCSS", 0, 20, 0, 0, 0, 4, 24
"e:\taroDemos\cloudmate\src\pages\approval\components\flow\index.tsx", "TypeScript JSX", 78, 0, 0, 0, 0, 9, 87
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\common\index.module.scss", "SCSS", 0, 51, 0, 0, 0, 10, 61
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\common\index.tsx", "TypeScript JSX", 63, 0, 0, 0, 0, 13, 76
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\context.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 4, 21
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\date-picker.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 10, 84
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\index.d.ts", "TypeScript", 0, 0, 8, 0, 0, 1, 9
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\index.module.scss", "SCSS", 0, 163, 0, 0, 5, 21, 189
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\index.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 2, 6
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\picker-selector.tsx", "TypeScript JSX", 47, 0, 0, 0, 1, 11, 59
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\segmented-control.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 4, 33
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\select-date.tsx", "TypeScript JSX", 146, 0, 0, 0, 0, 27, 173
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\select-time.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 10, 72
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\utils.ts", "TypeScript", 0, 0, 44, 0, 0, 15, 59
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\image\index.module.scss", "SCSS", 0, 15, 0, 0, 0, 3, 18
"e:\taroDemos\cloudmate\src\pages\approval\components\picker\image\index.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 5, 27
"e:\taroDemos\cloudmate\src\pages\approval\components\status-icon\index.module.scss", "SCSS", 0, 14, 0, 0, 0, 1, 15
"e:\taroDemos\cloudmate\src\pages\approval\components\status-icon\index.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 5, 29
"e:\taroDemos\cloudmate\src\pages\approval\components\text\input\index.module.scss", "SCSS", 0, 25, 0, 0, 0, 5, 30
"e:\taroDemos\cloudmate\src\pages\approval\components\text\input\index.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 7, 50
"e:\taroDemos\cloudmate\src\pages\approval\components\text\textarea\index.module.scss", "SCSS", 0, 33, 0, 0, 0, 6, 39
"e:\taroDemos\cloudmate\src\pages\approval\components\text\textarea\index.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 7, 50
"e:\taroDemos\cloudmate\src\pages\approval\config\constants.ts", "TypeScript", 0, 0, 72, 0, 0, 15, 87
"e:\taroDemos\cloudmate\src\pages\approval\config\create.ts", "TypeScript", 0, 0, 518, 0, 0, 6, 524
"e:\taroDemos\cloudmate\src\pages\approval\config\detail.ts", "TypeScript", 0, 0, 161, 0, 0, 18, 179
"e:\taroDemos\cloudmate\src\pages\approval\config\home.ts", "TypeScript", 0, 0, 49, 0, 0, 4, 53
"e:\taroDemos\cloudmate\src\pages\approval\config\process.ts", "TypeScript", 0, 0, 23, 0, 0, 2, 25
"e:\taroDemos\cloudmate\src\pages\approval\context.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 4, 19
"e:\taroDemos\cloudmate\src\pages\approval\index.tsx", "TypeScript JSX", 23, 0, 0, 0, 9, 2, 34
"e:\taroDemos\cloudmate\src\pages\approval\types\index.d.ts", "TypeScript", 0, 0, 11, 0, 0, 4, 15
"e:\taroDemos\cloudmate\src\pages\approval\utils\utils.ts", "TypeScript", 0, 0, 72, 0, 0, 12, 84
