Date : 2025-04-19 14:11:42
Directory : e:\taroDemos\cloudmate\src
Total : 238 files,  10285 codes, 189 comments, 1619 blanks, all 12093 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         95 |      4,678 |         78 |        788 |      5,544 |
| TypeScript     |         72 |      3,064 |         89 |        496 |      3,649 |
| SCSS           |         70 |      2,526 |         22 |        334 |      2,882 |
| HTML           |          1 |         17 |          0 |          1 |         18 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        238 |     10,285 |        189 |      1,619 |     12,093 |
| . (Files)                                                                                                |          4 |         70 |          0 |          8 |         78 |
| apis                                                                                                     |          9 |        378 |          0 |         62 |        440 |
| components                                                                                               |         47 |      1,676 |         13 |        294 |      1,983 |
| components\action-sheet                                                                                  |          2 |        113 |          3 |         18 |        134 |
| components\auth                                                                                          |          1 |         34 |          0 |          8 |         42 |
| components\avatar                                                                                        |          2 |        108 |          0 |         10 |        118 |
| components\box                                                                                           |          2 |         23 |          0 |          8 |         31 |
| components\box\state-box                                                                                 |          2 |         23 |          0 |          8 |         31 |
| components\button                                                                                        |          2 |         44 |          0 |         10 |         54 |
| components\checkbox                                                                                      |          2 |         45 |          0 |          8 |         53 |
| components\divider                                                                                       |          2 |         28 |          0 |          5 |         33 |
| components\drawer                                                                                        |          2 |        215 |          3 |         26 |        244 |
| components\float-indicator                                                                               |          2 |        102 |          0 |         17 |        119 |
| components\header                                                                                        |          2 |         26 |          1 |          7 |         34 |
| components\icon                                                                                          |          2 |         20 |          0 |         12 |         32 |
| components\icon (Files)                                                                                  |          1 |          2 |          0 |          2 |          4 |
| components\icon\common                                                                                   |          1 |         18 |          0 |         10 |         28 |
| components\image-picker                                                                                  |          2 |         87 |          0 |         16 |        103 |
| components\list                                                                                          |          2 |         64 |          0 |         15 |         79 |
| components\loading                                                                                       |          4 |         62 |          1 |         15 |         78 |
| components\loading\box                                                                                   |          2 |         36 |          0 |          9 |         45 |
| components\loading\icon                                                                                  |          2 |         26 |          1 |          6 |         33 |
| components\modal                                                                                         |          2 |         89 |          0 |         13 |        102 |
| components\popover                                                                                       |          4 |        216 |          0 |         33 |        249 |
| components\radio                                                                                         |          2 |         42 |          0 |         10 |         52 |
| components\search                                                                                        |          2 |         30 |          0 |          5 |         35 |
| components\tab-bar                                                                                       |          4 |        181 |          5 |         27 |        213 |
| components\textarea                                                                                      |          2 |         42 |          0 |          9 |         51 |
| components\time-line                                                                                     |          2 |        105 |          0 |         22 |        127 |
| constants                                                                                                |          1 |          4 |          2 |          1 |          7 |
| hooks                                                                                                    |          7 |        388 |          2 |         71 |        461 |
| layout                                                                                                   |          2 |         67 |          0 |         10 |         77 |
| layout\common                                                                                            |          2 |         67 |          0 |         10 |         77 |
| pages                                                                                                    |        138 |      7,048 |         95 |      1,008 |      8,151 |
| pages\approval                                                                                           |         58 |      3,603 |         27 |        478 |      4,108 |
| pages\approval (Files)                                                                                   |          2 |         38 |          9 |          6 |         53 |
| pages\approval\components                                                                                |         32 |      1,654 |          8 |        268 |      1,930 |
| pages\approval\components\dynamc-form                                                                    |          4 |        179 |          1 |         29 |        209 |
| pages\approval\components\flow                                                                           |          8 |        548 |          1 |         72 |        621 |
| pages\approval\components\flow (Files)                                                                   |          2 |         98 |          0 |         13 |        111 |
| pages\approval\components\flow\components                                                                |          6 |        450 |          1 |         59 |        510 |
| pages\approval\components\picker                                                                         |         14 |        745 |          6 |        136 |        887 |
| pages\approval\components\picker\common                                                                  |          2 |        114 |          0 |         23 |        137 |
| pages\approval\components\picker\date                                                                    |         10 |        594 |          6 |        105 |        705 |
| pages\approval\components\picker\image                                                                   |          2 |         37 |          0 |          8 |         45 |
| pages\approval\components\status-icon                                                                    |          2 |         38 |          0 |          6 |         44 |
| pages\approval\components\text                                                                           |          4 |        144 |          0 |         25 |        169 |
| pages\approval\components\text\input                                                                     |          2 |         68 |          0 |         12 |         80 |
| pages\approval\components\text\textarea                                                                  |          2 |         76 |          0 |         13 |         89 |
| pages\approval\config                                                                                    |          5 |        823 |          0 |         45 |        868 |
